Gene,Group 1 Fold Regulation,Comments,Group 2 Fold Regulation,Comments,Group 3 Fold Regulation,Comments,Group 4 Fold Regulation,Comments
Csf2,3.14,,2.21,,4.21,,2.21,
Csf2ra,-1.68,A,1.04,A,-2.27,A,-1.02,A
Csf3,188.87,A,37.1,A,30.03,A,114.22,A
Csf3r,1.37,,-2.01,,-1.49,,1.01,
Ctf1,-2.27,A,-1.81,A,-2.8,A,-1.79,A
Ctf2,-1.26,,-2.33,,-1.14,,1.22,
Cx3cl1,-2.41,,-2.06,,-2.55,,-2.36,
Cx3cr1,-6.68,A,-6.81,A,-6.62,A,-3.55,A
Cxcl1,32.52,,2.05,,16.06,,18.56,
Cxcl10,25.64,,4.18,,61.63,,15.15,
Cxcl11,3.66,,1.22,,12.53,,3.29,
Cxcl12,-3.39,,-1.74,,-4.47,,-2.73,
Cxcl13,2.64,,1.75,,1.74,,-1.92,
Cxcl14,-2.17,,-1.88,,-3.56,,-1.03,
Cxcl15,-2.23,,-2.08,,-2.42,,-1.39,
Cxcl16,-1.28,,-1.77,,-2.01,,-1.2,
Cxcl2,26.47,,3.45,,11.26,,16.72,
Cxcl5,15.92,,2.54,,13.84,,15.4,
Cxcl9,14,,2.77,,29.4,A,9.01,
Cxcr1,-1.01,,-1.76,,1.57,,1.09,
Cxcr2,5.08,,1.74,,2.03,,3.16,
Cxcr3,-3.7,A,-2.72,A,-4.84,A,-2.31,A
Cxcr4,-4.9,,-2.32,,-7.35,,-1.98,
Cxcr5,-2.2,A,-2.42,A,-2.99,A,-4.21,A
Cxcr6,-1.9,,-1.75,,-2.4,,-2.46,
Cybb,-2.8,,-2.99,,-2.47,,-3.38,
Cyp26b1,-3.4,A,-7.49,A,-11.43,A,-1.66,A
Mydgf,-2,,-2.22,,-1.84,,-1.63,
Dock2,-1.43,,-1.72,,-2.15,,-1.49,
Ebi3,1.73,,-1.4,A,-1.16,A,-1.2,A
Eda,-1.08,,-1.55,,-1.45,,1,
Ephx2,2.41,,1.48,,1.2,,-1.13,A
Epo,2.14,C,1.97,C,2.1,C,3.04,C
Epor,-4.36,A,-2.73,A,-6.3,A,-2.55,A
Erbb2,-2.69,,-1.87,,-5.43,,-2.69,
Erbb2ip,-2.22,,-1.8,,-3.27,,-1.8,
F11r,-1.97,,-1.47,,-2.32,,-1.41,
F2,-1.32,,-1.09,,-1.52,,-2.57,
F3,-1.08,,-1.25,,-1.58,,1.04,
F8,-1.31,,1.9,,2.71,,1.92,
Fasl,-1.35,A,-1.8,A,1.45,A,1.18,A
Fgf1,1.17,,1.12,,-1.01,,1.88,
Fgf10,-2.5,,-2.07,,-4.9,,-2.26,
Fgf12,1.63,,1.45,,1.36,,1.22,
Fgf2,-3.02,,-2.35,,-3.38,,-3.2,
Fgf3,1.88,,-1.13,,2.21,,1.37,
Fgf4,2.14,C,1.97,C,2.1,C,3.04,C
Fgf5,-1.01,,-2.24,,-1.8,,1.05,
Fgf6,2.14,C,2.07,,2.91,,8.76,
Fgf7,-2.71,,-1.1,,-2.94,,-1.65,
Fgf8,-1.19,,-1.3,,1.04,,1.19,
Fgf9,-1.12,,-1.84,,1.31,,-1.3,
Figf,-1.6,,-1.29,,1.04,,-1.14,
Flt3l,-4.6,,-2.31,,-5.59,,-3.36,
Fn1,-1.1,,1.09,,-1.46,,-1.05,
Fos,-2.57,,-2.81,,-5.37,,-2.57,
Fpr1,-1.37,,-2.09,,-1.56,,-1.27,
Gdf1,-1.99,A,-1.32,A,-3.79,A,-1.32,A
Gdf2,1.97,,1.81,,1.93,,2.81,
Gdf3,2.14,C,1.97,C,2.1,C,3.04,C
Gdf5,1.25,,1.52,,1.61,,1.59,
Gdf6,1.02,,-1.25,,-1.57,,-1.08,
Gdf7,1.2,,-1.61,,-1.09,,1.49,
Gdf9,1.09,,-1.22,,-1.82,,1.52,
Gfra1,-2.24,A,-1.74,,-3.02,A,-2.25,A
Gfra2,-3.5,,-2.29,,-3.96,,-2.52,
Ghr,-2.29,,-2.01,,-2.26,,-1.55,
Glmn,-2.26,,-2.14,,-2.88,,-1.67,
Gpi1,-1.09,,-1.33,,-1.91,,-1.2,
Gpr68,-2.56,,-1.13,,-1.68,,-1.36,
Grem1,1.62,,1.23,A,-1.18,A,-1.51,A
Grem2,-3.76,,-1.87,,-4.32,,-1.94,
Grn,-1.38,,-1.19,,-1.43,,1.1,
Hdac4,-1.74,,-1.79,,-2.92,,-1.71,
Hdac5,-2.67,,-2.01,,-4.05,,-1.61,
Hdac7,-1.88,,-1.46,,-1.72,,1.31,
Hdac9,-3.89,,-3.01,,-4.22,A,-3.45,A
Hrh1,-5.96,,-3.23,,-5.61,,-2.58,
Ifna11,-1.51,,-1.64,,-1.54,,-1.06,
Ifna14,2.14,C,1.97,C,2.1,C,3.04,C
Ifna2,-4.24,,-10.68,,-3.32,,-5.58,
Ifna4,1.44,,1.17,,1.29,,2.2,
Ifna9,2.19,,1.97,C,2.1,C,3.04,C
Ifnab,-1.02,,-3.58,,-1.45,,-1.22,
Ifnar1,-2.51,,-2.35,,-5.62,,-2.37,
Ifnar2,-2.22,,-2.46,,-3.88,,-2.03,
Ifnb1,17.16,,4,,15.53,,12.38,
Ifne,1.62,,1.49,,1.59,,2.31,
Ifng,-1.4,,-3.79,,-2.77,,-1.73,
Ifngr1,-1.22,,-1.58,,-2.3,,-1.06,
Ifngr2,-2.36,,-2.26,,-4.17,,-1.68,
Ifnk,-4.24,A,-3.11,A,-5.26,A,-4.84,A
Ik,-5.21,A,-1.91,,-4.36,A,-2.52,A
Il10,2.18,,1.56,,2.12,,2.4,
Il10ra,1.21,,-1.42,,-1.3,,1.11,
Il10rb,-2.97,,-2.98,,-5.95,,-2.84,
Il11,-1.05,,-2.11,,-3.78,,-1.09,
Il11ra1,-2.22,A,-1.16,,-1.69,A,1.36,
Il12a,-2.82,A,-2.19,A,-3.19,A,-1.39,A
Il12b,-5.17,,-2.17,,-3.51,,-5.02,
Il12rb1,2.41,,-1.1,,1.98,,1.41,
Il12rb2,1.01,,1.5,,-1.01,,1.44,
Il13,-1.21,,-2.2,,-3.2,,1.31,
Il13ra1,-1.64,,-1.91,,-2.11,,-1.64,
Il13ra2,2.14,C,1.97,C,2.1,C,3.04,C
Il15,-2.74,,-1.92,,1.1,,-1.68,
Il15ra,-1.53,,-1.41,,-1.08,,-1.57,
Il16,-1.51,,-1.19,,-2.96,A,-1.07,
Il17a,4.82,,1.97,C,2.1,C,3.04,C
Il17b,-4.08,,-1.79,,-6.87,,-5.42,
Il17c,3.64,,1.76,,3.86,,1.75,
Il17d,-1.56,,-1.35,,-1.54,,-1.08,
Il17f,3.29,,-1,A,3.36,,2.26,A
Il17ra,-1.11,,-1.38,,-2.27,,-1.21,
Il17rb,-2.22,A,-3.53,A,-2.94,A,-2.54,A
Il18,-1.55,,-1.33,,-1.07,,-1.61,
Il18r1,-1.91,,-1.69,,-2.25,,-1.48,
Il18rap,1.68,,-1.21,,-1.2,,1.4,
Il19,2.04,,2.29,,2,,3.55,
Il1a,1.89,,-1.4,,1.25,,1.6,
Il1b,3.58,,-1.72,,1.13,,1.98,
Il1f10,1.96,,1.69,,2.15,,1.6,
Il1f5,3.39,,3.18,,4.12,,3.14,
Il1f6,2.14,C,1.97,C,2.1,C,3.04,C
Il1f8,51.06,,46.1,,30.87,,3.04,C
Il1f9,7.68,,2.17,,4.03,,3.94,
Il1r1,-1.66,,-1.54,,-3.12,,-1.26,
Il1r2,36.03,A,9.5,A,20.51,A,24.52,A
Il1rap,-2.05,,-2.12,,-1.96,,-2.01,
Il1rapl2,2.14,C,1.97,C,2.1,C,3.04,C
Il1rl1,-2.47,,-2.03,,-5.71,A,-2.01,A
Il1rl2,-1.58,,-1.39,,-2.82,,-1.34,
Il1rn,4.24,,1.47,,3.06,,2.44,
Il2,2.14,C,1.97,C,3.27,,3.04,C
Il20,2.14,C,1.97,C,2.1,C,3.04,C
Il20ra,1.76,,1.85,,1.11,,2.63,
Il21,2.14,C,1.97,C,2.1,C,3.04,C
Il21r,-1.08,,-1.31,,-3.34,,-1.12,
Il22,1.6,,-1.13,,-1,,1.01,
Il22ra1,-2.73,,-1.8,,-2.31,,-1.38,
Il22ra2,2.14,C,1.97,C,2.1,C,3.04,C
Il23a,4.49,,1.17,,1.41,,-1.33,
Il23r,-1.84,,-1.39,,-3.44,,-1.44,
Il24,2.14,C,1.97,C,2.1,C,3.81,
Il27,1.12,,-1.25,,1.18,,1.91,
Ifnlr1,-1.82,,-1.62,,-3.41,A,-1.2,
Il2ra,-1.27,A,-1,A,-2.42,A,1.04,A
Il2rb,-1.61,,-2.17,A,-4.46,A,-1.76,A
Il2rg,-2.04,,-2.44,,-3.36,,-2.07,
Il3,2.14,C,1.97,C,2.1,C,3.04,C
Il31,-2.81,,-3.05,,-2.86,,1.05,
Il31ra,2.21,,2.23,,2.81,,2.62,
Il3ra,-1.82,,-2.03,,-2.95,,-1.29,
Il4,-3.13,,-2.44,,-4.5,,-1.42,
Il4ra,-1.1,,-1.82,,-3.02,,-1.39,
Il5,-1.49,,-1.57,,-1.27,,-2.19,
Il5ra,-1.3,,-1.73,,-2.06,,-1.56,
Il6,58.57,A,27.58,A,27.61,A,28.41,A
Il6ra,-1.58,,-1.45,,-3.05,,-1.71,
Il6st,-1.58,,-1.39,,-2.05,,-1.4,
Il7,-3.41,A,-2.47,A,-2.19,A,-3.2,A
Il7r,1.52,,-1.1,,-1.86,,1.21,
Il9,5.24,,1.97,C,6.37,,3.04,C
Il9r,1.16,,-1.51,,-2.27,,-1.42,
Inha,-1.14,A,-1.42,A,-4.66,A,-1.52,A
Inhba,1.5,A,1.44,A,1.27,A,1.35,A
Inhbb,3.27,,2.16,,1.36,A,3.09,
Ins1,2.14,C,1.97,C,2.1,C,3.04,C
Ins2,4.68,,1.85,,4.01,,2.87,
Irf4,-1.93,A,-2.06,A,-4.21,A,-2.33,A
Irf7,-1.22,,-1.32,,8.88,,1.38,
Itgb2,-2.17,,-2.62,,-4.89,,-2.18,
Itih4,-2.12,,-3.74,,-3.55,,-2.43,
Kitl,-1.5,,-1.11,,-2.12,,-1.12,
Kng1,2.14,C,1.97,C,2.1,C,3.04,C
Lbp,-1.23,,-1.85,,-2.17,,-1.55,
Lefty1,-2.25,,-1.89,,-4.22,A,-1.22,
Lefty2,3.22,,1.65,,2.12,,1.19,
Lepr,-1.74,,-1.86,,-2,,-1.35,
Lif,1.99,,1.14,,-2.27,,1.99,
Lifr,-2.34,,-1.6,,-2.45,,-1.79,
Lta,2.73,,-1.02,,-2.19,,-1.1,
Ltb,-1.81,,-1.96,,-4.69,,-2.17,
Ltb4r1,-1.64,,-1.66,,-1.92,,-1.02,
Ly75,-2.12,,-2.24,,-2.39,,-2.44,
Ly86,-1.56,,-1.48,,1.31,,-1.02,
Ly96,-2.59,,-1.97,,-3.66,,-1.7,
Mdk,-1.78,,-1.39,,-1.81,,1.01,
Mefv,2.37,,1.28,,1.6,,1.96,
Mgll,-2.88,,-2.06,,-5.44,,-2.44,
Mif,-1.19,,-1.44,,-1.42,,1.17,
Mmp25,1.24,,-1.01,,2.94,,2.01,
Mpl,2.91,,-1.12,A,2.47,,1.62,A
Mstn,2.73,,2.3,,8.66,,2.95,
Muc4,-1.16,,-1.97,A,-2.33,A,-1.85,A
Myd88,1.23,,-1.3,A,-1.01,A,1.44,A
Nampt,-1.19,,-1.18,,1.77,,-1.53,
Nfam1,1.06,,-1.03,,1.04,,1.51,
Nfatc3,-2.65,,-2.18,,-5.41,,-2.75,
Nfatc4,-3.36,,-1.82,,-3.74,,-1.42,
Nfe2l1,-2.8,,-2.46,,-4.69,,-3.11,
Nfkb1,-1.6,,-1.89,,-2.35,,-1.42,
Nfrkb,-1.91,,-1.68,,-2.42,,-1.58,
Nfx1,-2.34,,-1.88,,-3.12,,-1.73,
Nlrp12,3.33,,1.93,,2.84,,2.68,
Nmi,-1.65,,-2.09,,1.78,,-1.09,
Nodal,-1.27,,-1.45,,1.54,,-1.96,
Nos2,-1.12,,4.51,,-1.71,,1.05,
Nr3c1,-4.13,,-3.3,,-3.26,,-3.95,
Nrg1,-2.19,A,-1.79,,-2.14,A,-1.39,A
Ntf3,-3.19,A,-2.08,,-5.44,A,-2.71,A
Olr1,-1.89,,-1.25,,-1.98,,-1.35,
Osm,2.55,,-1,A,-1.13,A,2.81,
Osmr,-1.53,,-1.41,,-1.32,,-1.03,
Parp4,-2.15,,-1.89,,-2.45,,-1.36,
Pdgfa,-2.66,,-2.05,,-3.29,,-1.99,
Pdgfb,-5.48,,-3.8,,-13.76,,-3.38,
Pdgfc,-1.46,,-1.6,,-2.38,,-3.72,A
Pf4,-4.14,,-4.68,,-3.62,,-3.8,
Pglyrp1,2.36,,-1.11,,1.14,,1.28,
Pla2g2d,-2.35,A,-1.22,,-2.23,A,-4.33,A
Pla2g7,1.24,,-1.62,,1.01,,1.02,
Ppbp,-9.51,,-7.29,,-1.53,,-5,
Prdx5,-1.98,,-1.99,,-2.04,,-1.65,
Prg2,5.8,,1.92,,6.1,,8.31,
Prg3,2.38,,-1.03,,4.14,,1.66,
Prl,2.58,,-1.62,,-1.52,,-1.05,
Prlr,1.07,,1.45,,1.63,,1.21,
Procr,-1.77,,-1.71,,-3.15,,-1.51,
Prok2,5.56,,2.13,,-1.46,,2.47,
Ptafr,-1.27,,-2.49,,-2.38,,-1.36,
Ptgs2,-1.02,,-1.17,,-1.8,,1.17,
Ptn,1.43,,1.51,,1.89,,-1.34,A
Ptpra,-2.47,,-2.58,,-3.24,,-2.08,
Ptx3,5.27,,6.02,,2.28,,4.79,
Pxmp2,-2.19,,-1.57,,-2.26,,-2.04,
Reg3a,2.67,,1.97,C,4.99,,3.04,C
Reg3g,2.25,,1.01,,2.11,,-2.57,
Ripk2,-1.06,,-1.74,,-1.4,,1.07,
S100a11,1.77,,1.44,,-1.12,,1.91,
S100a8,6.3,,1.47,,2.38,,5.1,
S100b,1.34,,-1.09,,1.28,,-1.26,A
Saa4,2.14,C,4.62,,2.1,C,3.04,C
Scg2,2.14,C,2.64,,4.7,,3.04,C
Scube1,-3.38,,-2.35,,-6.41,,-2.8,
Sdcbp,-1.19,,-1.26,,-1.53,,1.08,
Sectm1b,2.44,,-1.62,,2.19,,2.58,
Sele,-28.84,A,1.98,,2.43,,5.74,
Serpina1a,4.94,,4.46,,5.61,,3.04,C
Serpina3n,1.79,,-1.11,,-1.1,,1.54,
Serpinf2,1.09,,-1.04,,-1.39,,1.03,
Sftpd,1.6,,1.28,,1.19,,1.89,
Sigirr,-2.24,,-1.3,,-2.75,,-1.7,
Siglec1,-2.25,A,-1.16,,-1.28,,-3,A
Siva1,-2.52,,-2.4,,-3.74,,-1.54,
Slco1a4,-3.57,,-1.9,,-5.63,,-1.8,
Slurp1,-2.27,,-1.77,,-2.35,,-1.32,
Socs2,-2.19,,-2.19,,-1.8,,-1.72,
Spaca3,-1.69,,-1.84,,-1.73,,-1.19,
Spp1,-2.42,,-2.56,,-2.7,,-1.68,
Spred1,-2.95,,-2.53,,-3.81,,-1.93,
Srgap1,-1.85,,-2.09,,-3.27,,-1.96,
Stab1,-2.02,,-1.55,,-3.37,,-1.3,
Stat3,-1.81,,-1.89,,-2.67,,-1.7,
Syk,-1.18,A,-1.58,A,-3.5,A,-1.79,A
Tacr1,-2.3,,1.08,,-1.16,,-1.53,
Thpo,-1.35,,-1.02,,1.13,,1.06,
Tirap,-2.2,,-1.65,,-3.95,,-1.74,
Tlr1,-1.07,,-1.01,,-1.18,,1.06,
Tlr2,1.02,,-2.06,,-1.32,,1.01,
Tlr3,-1.89,,-2.72,,1.45,,-2.08,
Tlr4,-2.53,,-2.02,,-3.24,,-2.32,
Tlr5,-1.95,,-1.39,,-2.5,,-1.84,
Tlr6,-2.63,,-3.01,,-6.84,A,-2.74,A
Tlr7,1.17,,1.59,,2.58,,1.06,
Tlr8,-2,,-1.57,,-3.07,,-1.8,
Tlr9,-3.48,A,-2.26,A,-1.66,A,-4.85,A
Tnf,2.74,A,-1.63,,1.1,,1.45,
Tnfaip6,1.19,,1.18,,1.11,,-1.01,A
Tnfrsf11b,-4.07,,-3.31,,-5.45,A,-3.06,A
Tnfsf10,-5.4,,-2.77,,-1.37,,-2.56,
Tnfsf11,1.89,,1.74,,1.02,,1.14,
Tnfsf13,-5.2,,-2.98,,-5.73,,-3.61,
Tnfsf13b,-2.07,,-2.44,,-2.88,,-1.94,
Tnfsf14,1.18,,-2.69,A,-2.2,A,1.1,
Tnfsf15,-3.52,A,-3.19,A,-7.25,A,-2.07,A
Tnfsf18,-1.66,,-1.58,,-3.75,,-2.23,
Tnfsf4,1.15,,-1.68,,-1.58,,-1.09,
Tnfsf8,1.19,A,-1.22,A,-2.06,A,-2.01,A
Tnfsf9,2.18,,-1.29,,-1.05,,1.46,
Tollip,-2.85,,-2.36,,-4.56,,-2.48,
Tpst1,-2.85,,-2.33,,-3.29,,-2.58,
Trap1,-3.77,,-3.4,,-5.09,,-3.35,
Ttn,2.47,,2.23,,2.9,,-1.03,
Tymp,-4.77,A,-2.11,,-9.02,A,-3.38,A
Vegfa,1.07,,1.3,,-1.19,,1.67,
Vegfb,-2.01,,-2.17,,-2.96,,-2.27,
Vps45,-2.79,,-2.01,,-3.95,,-2.33,
Xcl1,1.27,,-1.12,,1.94,,-1.18,
Xcr1,-4.63,A,-1.72,A,-2.66,A,-1.4,A
Yars,-1.34,,-2.52,,-4.62,,-1.63,
Actb,1.07,,1.12,,-1.62,,1.19,
B2m,1.21,,1.16,,1.88,,1.49,
Gapdh,-1.3,,-1.3,,-1.16,,-1.77,
Gusb,-2.8,,-1.73,,-4.17,,-2.15,
Hsp90ab1,1.57,,1.35,,-1.45,,1.62,
